Vardas         Pavarde        Galutinis (Vid.)

Vardas44151    Pavarde44151        5.00

Vardas44152    Pavarde44152        6.60

Vardas44153    Pavarde44153        7.80

Vardas44155    Pavarde44155        6.40

Vardas44157    Pavarde44157        7.20

Vardas44159    Pavarde44159        5.00

Vardas4416     Pavarde4416         8.00

Vardas44161    Pavarde44161        5.80

Vardas44162    Pavarde44162        8.80

Vardas44164    Pavarde44164        7.60

Vardas44165    Pavarde44165        6.00

Vardas44166    Pavarde44166        8.00

Vardas44167    Pavarde44167        8.40

Vardas44171    Pavarde44171        6.80

Vardas44173    Pavarde44173        6.40

Vardas44174    Pavarde44174        8.80

Vardas44179    Pavarde44179        5.60

Vardas4418     Pavarde4418         6.20

Vardas44180    Pavarde44180        6.60

Vardas44181    Pavarde44181        6.20

Vardas44182    Pavarde44182        8.40

Vardas44183    Pavarde44183        5.60

Vardas44184    Pavarde44184        5.80

Vardas44185    Pavarde44185        6.20

Vardas44188    Pavarde44188        6.40

Vardas44189    Pavarde44189        7.60

Vardas4419     Pavarde4419         6.00

Vardas44190    Pavarde44190        6.00

Vardas44191    Pavarde44191        9.20

Vardas44194    Pavarde44194        5.00

Vardas44195    Pavarde44195        5.80

Vardas44196    Pavarde44196        6.80

Vardas44201    Pavarde44201        7.40

Vardas44202    Pavarde44202        7.80

Vardas44203    Pavarde44203        7.40

Vardas44204    Pavarde44204        8.00

Vardas44205    Pavarde44205        5.60

Vardas44207    Pavarde44207        5.00

Vardas44208    Pavarde44208        5.80

Vardas44209    Pavarde44209        7.00

Vardas4421     Pavarde4421         7.40

Vardas44214    Pavarde44214        5.00

Vardas44216    Pavarde44216        6.00

Vardas44219    Pavarde44219        5.80

Vardas4422     Pavarde4422         8.40

Vardas44221    Pavarde44221        5.60

Vardas44224    Pavarde44224        8.00

Vardas44226    Pavarde44226        6.40

Vardas44227    Pavarde44227        6.00

Vardas44229    Pavarde44229        6.40

Vardas4423     Pavarde4423         9.20

Vardas44231    Pavarde44231        7.60

Vardas44232    Pavarde44232        6.20

Vardas44233    Pavarde44233        5.00

Vardas44236    Pavarde44236        8.00

Vardas44238    Pavarde44238        7.40

Vardas44239    Pavarde44239        7.20

Vardas4424     Pavarde4424         7.40

Vardas44240    Pavarde44240        6.80

Vardas44241    Pavarde44241        8.20

Vardas44242    Pavarde44242        5.20

Vardas44246    Pavarde44246        7.00

Vardas44248    Pavarde44248        7.20

Vardas44249    Pavarde44249        5.40

Vardas4425     Pavarde4425         6.60

Vardas44250    Pavarde44250        5.40

Vardas44251    Pavarde44251        8.40

Vardas44255    Pavarde44255        7.40

Vardas44257    Pavarde44257        6.60

Vardas44260    Pavarde44260        5.00

Vardas44262    Pavarde44262        5.60

Vardas44263    Pavarde44263        6.80

Vardas44264    Pavarde44264        6.00

Vardas44266    Pavarde44266        7.00

Vardas44268    Pavarde44268        5.00

Vardas44272    Pavarde44272        5.20

Vardas44273    Pavarde44273        6.60

Vardas44275    Pavarde44275        8.40

Vardas44276    Pavarde44276        5.80

Vardas44277    Pavarde44277        8.40

Vardas4428     Pavarde4428         5.80

Vardas44281    Pavarde44281        7.60

Vardas44284    Pavarde44284        8.40

Vardas44286    Pavarde44286        8.80

Vardas44288    Pavarde44288        7.60

Vardas44290    Pavarde44290        7.20

Vardas44291    Pavarde44291        6.20

Vardas44294    Pavarde44294        5.20

Vardas44295    Pavarde44295        6.00

Vardas44296    Pavarde44296        7.40

Vardas44297    Pavarde44297        7.00

Vardas44298    Pavarde44298        7.80

Vardas4430     Pavarde4430         5.80

Vardas44301    Pavarde44301        5.80

Vardas44303    Pavarde44303        7.00

Vardas44305    Pavarde44305        7.80

Vardas44306    Pavarde44306        8.00

Vardas44308    Pavarde44308        6.00

Vardas4431     Pavarde4431         5.00

Vardas44310    Pavarde44310        7.60

Vardas44312    Pavarde44312        7.80

Vardas44314    Pavarde44314        7.40

Vardas44315    Pavarde44315        6.80

Vardas44316    Pavarde44316        7.00

Vardas44317    Pavarde44317        5.40

Vardas44319    Pavarde44319        6.40

Vardas4432     Pavarde4432         7.80

Vardas44320    Pavarde44320        6.60

Vardas44321    Pavarde44321        5.40

Vardas44324    Pavarde44324        5.80

Vardas44327    Pavarde44327        6.40

Vardas44328    Pavarde44328        5.20

Vardas44329    Pavarde44329        5.20

Vardas44333    Pavarde44333        5.40

Vardas44335    Pavarde44335        7.40

Vardas44337    Pavarde44337        7.40

Vardas44339    Pavarde44339        5.60

Vardas44341    Pavarde44341        5.20

Vardas44343    Pavarde44343        7.00

Vardas44345    Pavarde44345        6.60

Vardas44346    Pavarde44346        6.20

Vardas44347    Pavarde44347        7.60

Vardas44348    Pavarde44348        5.00

Vardas4435     Pavarde4435         5.80

Vardas44350    Pavarde44350        6.20

Vardas44351    Pavarde44351        5.40

Vardas44352    Pavarde44352        6.60

Vardas44353    Pavarde44353        5.00

Vardas44354    Pavarde44354        5.20

Vardas44356    Pavarde44356        7.60

Vardas44358    Pavarde44358        6.80

Vardas44359    Pavarde44359        7.40

Vardas44363    Pavarde44363        7.00

Vardas44365    Pavarde44365        6.20

Vardas4437     Pavarde4437         6.40

Vardas44370    Pavarde44370        6.80

Vardas44371    Pavarde44371        5.20

Vardas44376    Pavarde44376        6.40

Vardas4438     Pavarde4438         5.60

Vardas44381    Pavarde44381        6.00

Vardas44382    Pavarde44382        5.40

Vardas44383    Pavarde44383        6.00

Vardas44387    Pavarde44387        7.00

Vardas44389    Pavarde44389        7.00

Vardas4439     Pavarde4439         5.60

Vardas44390    Pavarde44390        6.20

Vardas44391    Pavarde44391        6.20

Vardas44392    Pavarde44392        5.60

Vardas44393    Pavarde44393        6.80

Vardas44398    Pavarde44398        5.20

Vardas44399    Pavarde44399        7.00

Vardas444      Pavarde444          6.00

Vardas44400    Pavarde44400        7.00

Vardas44403    Pavarde44403        5.00

Vardas44404    Pavarde44404        6.20

Vardas44408    Pavarde44408        7.60

Vardas44409    Pavarde44409        7.00

Vardas44410    Pavarde44410        6.40

Vardas44411    Pavarde44411        6.00

Vardas44413    Pavarde44413        8.00

Vardas44414    Pavarde44414        5.60

Vardas44415    Pavarde44415        7.60

Vardas44418    Pavarde44418        5.40

Vardas4442     Pavarde4442         6.20

Vardas44420    Pavarde44420        5.80

Vardas44421    Pavarde44421        7.40

Vardas44426    Pavarde44426        7.80

Vardas44427    Pavarde44427        8.80

Vardas44429    Pavarde44429        5.40

Vardas4443     Pavarde4443         6.20

Vardas44431    Pavarde44431        7.60

Vardas44432    Pavarde44432        6.00

Vardas44433    Pavarde44433        6.00

Vardas44436    Pavarde44436        8.00

Vardas4444     Pavarde4444         8.40

Vardas44440    Pavarde44440        6.80

Vardas44444    Pavarde44444        5.00

Vardas44445    Pavarde44445        7.60

Vardas44446    Pavarde44446        7.00

Vardas44449    Pavarde44449        7.40

Vardas44450    Pavarde44450        6.60

Vardas44452    Pavarde44452        5.60

Vardas44454    Pavarde44454        8.00

Vardas44455    Pavarde44455        6.40

Vardas44456    Pavarde44456        6.00

Vardas44458    Pavarde44458        7.20

Vardas4446     Pavarde4446         5.60

Vardas44463    Pavarde44463        6.80

Vardas44464    Pavarde44464        5.00

Vardas44466    Pavarde44466        7.60

Vardas44467    Pavarde44467        7.00

Vardas44470    Pavarde44470        7.40

Vardas44476    Pavarde44476        7.60

Vardas44478    Pavarde44478        7.60

Vardas44479    Pavarde44479        8.40

Vardas44481    Pavarde44481        8.00

Vardas44483    Pavarde44483        6.20

Vardas44487    Pavarde44487        8.00

Vardas44489    Pavarde44489        6.00

Vardas4449     Pavarde4449         7.20

Vardas44490    Pavarde44490        7.40

Vardas44492    Pavarde44492        6.00

Vardas44494    Pavarde44494        8.40

Vardas44495    Pavarde44495        7.20

Vardas44498    Pavarde44498        7.60

Vardas4450     Pavarde4450         7.20

Vardas44502    Pavarde44502        6.00

Vardas44503    Pavarde44503        7.40

Vardas44504    Pavarde44504        8.00

Vardas44509    Pavarde44509        5.40

Vardas44512    Pavarde44512        6.60

Vardas44515    Pavarde44515        7.60

Vardas44516    Pavarde44516        8.80

Vardas44517    Pavarde44517        6.80

Vardas44519    Pavarde44519        8.80

Vardas4452     Pavarde4452         7.40

Vardas44520    Pavarde44520        7.80

Vardas44522    Pavarde44522        6.60

Vardas44523    Pavarde44523        6.00

Vardas44524    Pavarde44524        6.80

Vardas44529    Pavarde44529        5.40

Vardas4453     Pavarde4453         6.00

Vardas44530    Pavarde44530        5.80

Vardas44532    Pavarde44532        8.00

Vardas44534    Pavarde44534        7.60

Vardas44536    Pavarde44536        7.60

Vardas44537    Pavarde44537        6.80

Vardas44539    Pavarde44539        5.20

Vardas4454     Pavarde4454         5.40

Vardas44540    Pavarde44540        6.40

Vardas44541    Pavarde44541        8.40

Vardas44542    Pavarde44542        5.40

Vardas44544    Pavarde44544        7.00

Vardas44545    Pavarde44545        8.00

Vardas44547    Pavarde44547        7.40

Vardas44548    Pavarde44548        6.80

Vardas44552    Pavarde44552        7.40

Vardas44554    Pavarde44554        8.40

Vardas44555    Pavarde44555        7.20

Vardas44556    Pavarde44556        6.60

Vardas44557    Pavarde44557        5.20

Vardas44558    Pavarde44558        7.80

Vardas44559    Pavarde44559        5.40

Vardas44560    Pavarde44560        6.80

Vardas44563    Pavarde44563        5.00

Vardas44564    Pavarde44564        6.20

Vardas44567    Pavarde44567        7.40

Vardas44568    Pavarde44568        6.20

Vardas44570    Pavarde44570        5.60

Vardas44571    Pavarde44571        6.00

Vardas44572    Pavarde44572        5.00

Vardas44573    Pavarde44573        7.00

Vardas44576    Pavarde44576        6.00

Vardas44579    Pavarde44579        8.00

Vardas4458     Pavarde4458         6.80

Vardas44580    Pavarde44580        6.80

Vardas44581    Pavarde44581        6.20

Vardas44582    Pavarde44582        6.60

Vardas44584    Pavarde44584        6.40

Vardas44586    Pavarde44586        5.00

Vardas44589    Pavarde44589        5.20

Vardas44590    Pavarde44590        7.00

Vardas44592    Pavarde44592        5.60

Vardas44593    Pavarde44593        7.20

Vardas44599    Pavarde44599        5.20

Vardas446      Pavarde446          6.40

Vardas4460     Pavarde4460         6.80

Vardas44600    Pavarde44600        5.20

Vardas44601    Pavarde44601        7.20

Vardas44602    Pavarde44602        8.40

Vardas44604    Pavarde44604        7.40

Vardas44605    Pavarde44605        7.40

Vardas44608    Pavarde44608        7.60

Vardas44609    Pavarde44609        5.00

Vardas44610    Pavarde44610        6.20

Vardas44611    Pavarde44611        7.20

Vardas44612    Pavarde44612        5.40

Vardas44614    Pavarde44614        8.80

Vardas44615    Pavarde44615        8.00

Vardas44618    Pavarde44618        6.80

Vardas44621    Pavarde44621        5.60

Vardas44624    Pavarde44624        5.20

Vardas44625    Pavarde44625        6.40

Vardas44626    Pavarde44626        7.20

Vardas44627    Pavarde44627        6.80

Vardas44628    Pavarde44628        5.00

Vardas4463     Pavarde4463         6.60

Vardas44630    Pavarde44630        6.20

Vardas44634    Pavarde44634        5.20

Vardas44635    Pavarde44635        7.40

Vardas44636    Pavarde44636        8.60

Vardas44637    Pavarde44637        7.40

Vardas4464     Pavarde4464         7.60

Vardas44641    Pavarde44641        5.40

Vardas44642    Pavarde44642        6.60

Vardas44643    Pavarde44643        7.00

Vardas44644    Pavarde44644        6.00

Vardas44645    Pavarde44645        5.60

Vardas44649    Pavarde44649        7.40

Vardas4465     Pavarde4465         6.80

Vardas44650    Pavarde44650        9.20

Vardas44651    Pavarde44651        6.00

Vardas44652    Pavarde44652        6.20

Vardas44653    Pavarde44653        7.00

Vardas44654    Pavarde44654        7.60

Vardas44655    Pavarde44655        8.80

Vardas44657    Pavarde44657        5.80

Vardas44658    Pavarde44658        5.80

Vardas44659    Pavarde44659        7.80

Vardas4466     Pavarde4466         6.80

Vardas44661    Pavarde44661        6.40

Vardas44664    Pavarde44664        6.80

Vardas44666    Pavarde44666        6.20

Vardas44669    Pavarde44669        7.40

Vardas44671    Pavarde44671        6.80

Vardas44673    Pavarde44673        5.00

Vardas44674    Pavarde44674        6.20

Vardas44676    Pavarde44676        6.80

Vardas44677    Pavarde44677        7.40

Vardas44678    Pavarde44678        7.80

Vardas44679    Pavarde44679        7.60

Vardas4468     Pavarde4468         6.00

Vardas44680    Pavarde44680        7.20

Vardas44683    Pavarde44683        6.40

Vardas44689    Pavarde44689        6.00

Vardas44691    Pavarde44691        8.20

Vardas44692    Pavarde44692        6.60

Vardas44696    Pavarde44696        5.20

Vardas44699    Pavarde44699        8.40

Vardas447      Pavarde447          7.80

Vardas44700    Pavarde44700        7.20

Vardas44702    Pavarde44702        7.80

Vardas44703    Pavarde44703        8.00

Vardas44706    Pavarde44706        6.40

Vardas44707    Pavarde44707        6.40

Vardas44708    Pavarde44708        6.20

Vardas4471     Pavarde4471         7.20

Vardas44710    Pavarde44710        8.40

Vardas44713    Pavarde44713        6.20

Vardas44718    Pavarde44718        8.00

Vardas4472     Pavarde4472         6.60

Vardas44721    Pavarde44721        7.00

Vardas44722    Pavarde44722        6.60

Vardas44723    Pavarde44723        7.60

Vardas44724    Pavarde44724        5.20

Vardas44725    Pavarde44725        7.40

Vardas44726    Pavarde44726        5.80

Vardas44729    Pavarde44729        6.20

Vardas44730    Pavarde44730        7.20

Vardas44731    Pavarde44731        7.40

Vardas44733    Pavarde44733        6.40

Vardas44735    Pavarde44735        7.60

Vardas44736    Pavarde44736        5.20

Vardas44737    Pavarde44737        8.00

Vardas44738    Pavarde44738        6.00

Vardas44739    Pavarde44739        5.00

Vardas44743    Pavarde44743        7.80

Vardas44744    Pavarde44744        7.60

Vardas44745    Pavarde44745        7.40

Vardas44746    Pavarde44746        5.20

Vardas44747    Pavarde44747        7.60

Vardas44748    Pavarde44748        7.00

Vardas4475     Pavarde4475         6.40

Vardas44750    Pavarde44750        8.80

Vardas44751    Pavarde44751        7.60

Vardas44752    Pavarde44752        5.80

Vardas44753    Pavarde44753        6.80

Vardas44756    Pavarde44756        6.00

Vardas44757    Pavarde44757        8.20

Vardas44758    Pavarde44758        7.40

Vardas4476     Pavarde4476         6.60

Vardas44760    Pavarde44760        5.00

Vardas44766    Pavarde44766        7.00

Vardas44767    Pavarde44767        5.00

Vardas44768    Pavarde44768        6.60

Vardas4477     Pavarde4477         7.40

Vardas44770    Pavarde44770        7.20

Vardas44772    Pavarde44772        7.60

Vardas44775    Pavarde44775        6.00

Vardas44776    Pavarde44776        8.80

Vardas44777    Pavarde44777        6.00

Vardas44778    Pavarde44778        7.60

Vardas44779    Pavarde44779        8.40

Vardas44781    Pavarde44781        7.20

Vardas44783    Pavarde44783        7.60

Vardas44786    Pavarde44786        7.80

Vardas44789    Pavarde44789        5.60

Vardas44790    Pavarde44790        8.00

Vardas44791    Pavarde44791        5.60

Vardas44792    Pavarde44792        5.20

Vardas44793    Pavarde44793        6.80

Vardas44795    Pavarde44795        7.60

Vardas44796    Pavarde44796        6.60

Vardas44797    Pavarde44797        5.40

Vardas44798    Pavarde44798        6.40

Vardas44799    Pavarde44799        5.20

Vardas448      Pavarde448          6.60

Vardas4480     Pavarde4480         7.40

Vardas44800    Pavarde44800        5.00

Vardas44802    Pavarde44802        7.20

Vardas44805    Pavarde44805        8.00

Vardas44810    Pavarde44810        8.00

Vardas44811    Pavarde44811        7.60

Vardas44813    Pavarde44813        6.80

Vardas44817    Pavarde44817        5.00

Vardas4482     Pavarde4482         6.40

Vardas44820    Pavarde44820        6.00

Vardas44825    Pavarde44825        7.60

Vardas44826    Pavarde44826        7.20

Vardas44827    Pavarde44827        5.20

Vardas4483     Pavarde4483         8.00

Vardas44830    Pavarde44830        6.80

Vardas44832    Pavarde44832        6.60

Vardas44834    Pavarde44834        6.80

Vardas44836    Pavarde44836        5.00

Vardas44838    Pavarde44838        6.80

Vardas44839    Pavarde44839        8.40

Vardas4484     Pavarde4484         7.00

Vardas44841    Pavarde44841        6.00

Vardas44842    Pavarde44842        5.20

Vardas44844    Pavarde44844        6.20

Vardas44846    Pavarde44846        5.00

Vardas44849    Pavarde44849        5.80

Vardas4485     Pavarde4485         8.00

Vardas44850    Pavarde44850        6.00

Vardas44851    Pavarde44851        6.20

Vardas44855    Pavarde44855        6.60

Vardas44856    Pavarde44856        5.80

Vardas44859    Pavarde44859        6.60

Vardas4486     Pavarde4486         6.80

Vardas44860    Pavarde44860        6.00

Vardas44862    Pavarde44862        7.40

Vardas44864    Pavarde44864        8.80

Vardas44865    Pavarde44865        7.20

Vardas44866    Pavarde44866        7.40

Vardas4487     Pavarde4487         6.20

Vardas44870    Pavarde44870        7.40

Vardas44871    Pavarde44871        5.20

Vardas44872    Pavarde44872        8.20

Vardas44874    Pavarde44874        6.20

Vardas44876    Pavarde44876        7.00

Vardas44877    Pavarde44877        7.80

Vardas44881    Pavarde44881        6.60

Vardas44882    Pavarde44882        6.40

Vardas44883    Pavarde44883        8.40

Vardas44884    Pavarde44884        6.80

Vardas44885    Pavarde44885        5.80

Vardas44887    Pavarde44887        5.60

Vardas44888    Pavarde44888        6.80

Vardas44889    Pavarde44889        5.00

Vardas4489     Pavarde4489         5.20

Vardas44890    Pavarde44890        7.40

Vardas44892    Pavarde44892        5.20

Vardas44894    Pavarde44894        6.40

Vardas44896    Pavarde44896        6.60

Vardas44897    Pavarde44897        5.60

Vardas44898    Pavarde44898        5.00

Vardas44900    Pavarde44900        7.20

Vardas44901    Pavarde44901        5.60

Vardas44903    Pavarde44903        5.00

Vardas44905    Pavarde44905        6.60

Vardas44906    Pavarde44906        5.80

Vardas4491     Pavarde4491         6.00

Vardas44910    Pavarde44910        8.00

Vardas44911    Pavarde44911        5.40

Vardas44912    Pavarde44912        6.00

Vardas44913    Pavarde44913        6.60

Vardas44914    Pavarde44914        5.60

Vardas44918    Pavarde44918        7.80

Vardas44919    Pavarde44919        5.00

Vardas4492     Pavarde4492         5.40

Vardas44920    Pavarde44920        6.80

Vardas44923    Pavarde44923        7.00

Vardas44924    Pavarde44924        5.80

Vardas44927    Pavarde44927        7.60

Vardas44928    Pavarde44928        5.00

Vardas44933    Pavarde44933        8.40

Vardas44934    Pavarde44934        7.60

Vardas44935    Pavarde44935        6.40

Vardas44939    Pavarde44939        6.20

Vardas4494     Pavarde4494         6.20

Vardas44940    Pavarde44940        6.40

Vardas44943    Pavarde44943        7.00

Vardas44944    Pavarde44944        6.00

Vardas44946    Pavarde44946        5.40

Vardas44947    Pavarde44947        8.00

Vardas44948    Pavarde44948        5.60

Vardas4495     Pavarde4495         5.20

Vardas44950    Pavarde44950        7.00

Vardas44954    Pavarde44954        5.80

Vardas44956    Pavarde44956        5.60

Vardas44957    Pavarde44957        6.40

Vardas44958    Pavarde44958        5.60

Vardas44960    Pavarde44960        5.40

Vardas44961    Pavarde44961        5.80

Vardas44962    Pavarde44962        7.20

Vardas44966    Pavarde44966        6.80

Vardas44967    Pavarde44967        7.00

Vardas4497     Pavarde4497         6.40

Vardas44970    Pavarde44970        8.00

Vardas44971    Pavarde44971        6.40

Vardas44972    Pavarde44972        5.80

Vardas44974    Pavarde44974        6.60

Vardas44975    Pavarde44975        7.40

Vardas44976    Pavarde44976        7.20

Vardas44977    Pavarde44977        5.20

Vardas44978    Pavarde44978        7.80

Vardas44980    Pavarde44980        6.60

Vardas44982    Pavarde44982        5.80

Vardas44986    Pavarde44986        5.80

Vardas44988    Pavarde44988        6.60

Vardas4499     Pavarde4499         8.00

Vardas44990    Pavarde44990        6.00

Vardas44991    Pavarde44991        6.00

Vardas44992    Pavarde44992        7.60

Vardas44994    Pavarde44994        5.80

Vardas44995    Pavarde44995        5.40

Vardas44998    Pavarde44998        7.60

Vardas45       Pavarde45           6.20

Vardas4500     Pavarde4500         7.20

Vardas45002    Pavarde45002        5.40

Vardas45005    Pavarde45005        5.60

Vardas45006    Pavarde45006        7.40

Vardas45007    Pavarde45007        5.60

Vardas45008    Pavarde45008        6.20

Vardas45009    Pavarde45009        5.60

Vardas4501     Pavarde4501         6.40

Vardas45010    Pavarde45010        7.40

Vardas45012    Pavarde45012        8.00

Vardas45015    Pavarde45015        5.40

Vardas45016    Pavarde45016        7.40

Vardas45017    Pavarde45017        6.40

Vardas45018    Pavarde45018        7.80

Vardas4502     Pavarde4502         6.80

Vardas45020    Pavarde45020        6.80

Vardas45025    Pavarde45025        5.20

Vardas45026    Pavarde45026        6.20

Vardas45027    Pavarde45027        5.60

Vardas45029    Pavarde45029        6.80

Vardas4503     Pavarde4503         6.60

Vardas45030    Pavarde45030        8.00

Vardas45034    Pavarde45034        7.80

Vardas45036    Pavarde45036        6.80

Vardas45037    Pavarde45037        6.00

Vardas45038    Pavarde45038        7.20

Vardas4504     Pavarde4504         6.60

Vardas45043    Pavarde45043        5.60

Vardas45044    Pavarde45044        5.20

Vardas45045    Pavarde45045        7.00

Vardas45046    Pavarde45046        9.20

Vardas45047    Pavarde45047        7.80

Vardas45048    Pavarde45048        6.00

Vardas45049    Pavarde45049        6.20

Vardas4505     Pavarde4505         7.60

Vardas45050    Pavarde45050        5.00

Vardas45052    Pavarde45052        5.40

Vardas45055    Pavarde45055        6.20

Vardas45057    Pavarde45057        8.00

Vardas45058    Pavarde45058        7.20

Vardas45059    Pavarde45059        7.40

Vardas45062    Pavarde45062        9.20

Vardas45065    Pavarde45065        5.20

Vardas45066    Pavarde45066        6.80

Vardas45068    Pavarde45068        6.20

Vardas45069    Pavarde45069        7.60

Vardas45071    Pavarde45071        5.40

Vardas45072    Pavarde45072        6.00

Vardas45076    Pavarde45076        8.00

Vardas45077    Pavarde45077        5.80

Vardas45078    Pavarde45078        6.60

Vardas45079    Pavarde45079        6.40

Vardas4508     Pavarde4508         8.00

Vardas45081    Pavarde45081        7.60

Vardas45082    Pavarde45082        8.40

Vardas45083    Pavarde45083        7.60

Vardas45085    Pavarde45085        6.80

Vardas45087    Pavarde45087        8.40

Vardas45088    Pavarde45088        5.60

Vardas4509     Pavarde4509         8.00

Vardas45090    Pavarde45090        7.00

Vardas45092    Pavarde45092        6.80

Vardas45095    Pavarde45095        8.00

Vardas45099    Pavarde45099        6.60

Vardas451      Pavarde451          8.40

Vardas4510     Pavarde4510         8.40

Vardas45100    Pavarde45100        5.80

Vardas45102    Pavarde45102        7.80

Vardas45103    Pavarde45103        5.40

Vardas45105    Pavarde45105        5.20

Vardas45115    Pavarde45115        6.40

Vardas45118    Pavarde45118        6.60

Vardas4512     Pavarde4512         5.60

Vardas45120    Pavarde45120        7.20

Vardas45121    Pavarde45121        7.60

Vardas45122    Pavarde45122        6.40

Vardas45123    Pavarde45123        6.60

Vardas45124    Pavarde45124        5.80

Vardas45125    Pavarde45125        5.40

Vardas45126    Pavarde45126        5.40

Vardas4513     Pavarde4513         5.60

Vardas45132    Pavarde45132        8.40

Vardas45134    Pavarde45134        7.20

Vardas45138    Pavarde45138        5.80

Vardas45139    Pavarde45139        5.60

Vardas4514     Pavarde4514         6.40

Vardas45141    Pavarde45141        6.40

Vardas45143    Pavarde45143        7.20

Vardas45146    Pavarde45146        5.80

Vardas45147    Pavarde45147        6.00

Vardas45149    Pavarde45149        6.80

Vardas4515     Pavarde4515         5.20

Vardas45150    Pavarde45150        7.20

Vardas45151    Pavarde45151        8.40

Vardas45153    Pavarde45153        5.40

Vardas45156    Pavarde45156        7.60

Vardas45157    Pavarde45157        6.80

Vardas45163    Pavarde45163        8.00

Vardas45164    Pavarde45164        7.40

Vardas45165    Pavarde45165        6.40

Vardas45166    Pavarde45166        7.20

Vardas45168    Pavarde45168        8.00

Vardas45169    Pavarde45169        5.80

Vardas45170    Pavarde45170        5.80

Vardas45171    Pavarde45171        7.40

Vardas45174    Pavarde45174        6.00

Vardas45178    Pavarde45178        8.00

Vardas45179    Pavarde45179        7.20

Vardas4518     Pavarde4518         5.80

Vardas45181    Pavarde45181        6.00

Vardas45182    Pavarde45182        5.20

Vardas45183    Pavarde45183        8.40

Vardas45186    Pavarde45186        8.00

Vardas45187    Pavarde45187        7.20

Vardas45188    Pavarde45188        6.40

Vardas45189    Pavarde45189        8.40

Vardas4519     Pavarde4519         6.20

Vardas45190    Pavarde45190        5.00

Vardas45191    Pavarde45191        7.20

Vardas45193    Pavarde45193        7.60

Vardas45194    Pavarde45194        6.00

Vardas45195    Pavarde45195        7.20

Vardas45196    Pavarde45196        5.40

Vardas45197    Pavarde45197        5.80

Vardas45198    Pavarde45198        6.60

Vardas45199    Pavarde45199        6.00

Vardas45201    Pavarde45201        5.40

Vardas45202    Pavarde45202        7.80

Vardas45203    Pavarde45203        8.40

Vardas45206    Pavarde45206        7.20

Vardas45212    Pavarde45212        7.20

Vardas45215    Pavarde45215        5.60

Vardas45218    Pavarde45218        5.00

Vardas4522     Pavarde4522         6.80

Vardas45220    Pavarde45220        8.60

Vardas45222    Pavarde45222        5.60

Vardas45223    Pavarde45223        7.20

Vardas45225    Pavarde45225        7.60

Vardas45227    Pavarde45227        7.20

Vardas45229    Pavarde45229        5.60

Vardas4523     Pavarde4523         5.80

Vardas45230    Pavarde45230        6.20

Vardas45232    Pavarde45232        8.00

Vardas45235    Pavarde45235        5.20

Vardas45236    Pavarde45236        7.60

Vardas45238    Pavarde45238        7.40

Vardas4524     Pavarde4524         6.40

Vardas45241    Pavarde45241        7.20

Vardas45242    Pavarde45242        5.80

Vardas45243    Pavarde45243        5.00

Vardas45244    Pavarde45244        5.20

Vardas45247    Pavarde45247        7.80

Vardas45248    Pavarde45248        5.20

Vardas45249    Pavarde45249        8.40

Vardas45250    Pavarde45250        6.20

Vardas45251    Pavarde45251        8.00

Vardas45252    Pavarde45252        6.60

Vardas45256    Pavarde45256        7.20

Vardas45257    Pavarde45257        6.20

Vardas45258    Pavarde45258        5.00

Vardas4526     Pavarde4526         5.00

Vardas45260    Pavarde45260        6.40

Vardas45263    Pavarde45263        5.00

Vardas45268    Pavarde45268        5.20

Vardas45269    Pavarde45269        5.60

Vardas4527     Pavarde4527         5.20

Vardas45271    Pavarde45271        6.80

Vardas45272    Pavarde45272        5.60

Vardas45273    Pavarde45273        7.20

Vardas45274    Pavarde45274        6.60

Vardas45278    Pavarde45278        6.40

Vardas45279    Pavarde45279        5.00

Vardas4528     Pavarde4528         8.00

Vardas45283    Pavarde45283        8.00

Vardas45284    Pavarde45284        5.20

Vardas45288    Pavarde45288        6.00

Vardas45290    Pavarde45290        7.20

Vardas45293    Pavarde45293        6.20

Vardas45296    Pavarde45296        5.80

Vardas45297    Pavarde45297        8.00

